epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.305,3.23183,4.61274,2.28225,0.00086,0.04605,0.00093,0.00018,2.64876,4.63327,2.1383,4.998e-05,4.998e-05,4.998e-05
2,68.724,2.09348,4.24267,1.57896,0.00731,0.28947,0.10885,0.05574,1.75929,4.28116,1.35748,0.000106146,0.000106146,0.000106146
3,101.214,1.55991,3.73005,1.2633,0.00985,0.40461,0.17324,0.0996,1.34989,4.07008,1.12959,0.000160003,0.000160003,0.000160003
4,132.665,1.48925,3.24006,1.17426,0.82428,0.24671,0.23409,0.12161,1.32433,3.83572,1.08213,0.00021155,0.00021155,0.00021155
5,167.523,1.45922,2.75616,1.14483,0.97699,0.10197,0.28627,0.16844,1.26857,3.60394,1.07145,0.000260789,0.000260789,0.000260789
6,200.238,1.35446,2.19215,1.13214,0.02475,0.76974,0.39999,0.2385,1.30582,3.46481,1.10419,0.000307719,0.000307719,0.000307719
7,232.553,1.39494,1.8673,1.12073,0.94253,0.13997,0.71728,0.43169,1.23846,2.99807,1.08009,0.000352339,0.000352339,0.000352339
8,264.219,1.35569,1.60386,1.08821,0.90647,0.18172,0.76322,0.47794,1.246,2.70302,1.09908,0.00039465,0.00039465,0.00039465
9,296.264,1.37538,1.45186,1.07842,0.93239,0.39438,0.90923,0.59962,1.17888,2.27451,1.06363,0.000434653,0.000434653,0.000434653
10,329.911,1.2746,1.31954,1.0668,0.97447,0.55323,0.94503,0.61829,1.19357,2.10945,1.10202,0.000472346,0.000472346,0.000472346
11,365.846,1.29214,1.25946,1.0489,0.9793,0.64596,0.96915,0.6244,1.18899,1.97188,1.08496,0.00050773,0.00050773,0.00050773
12,397.064,1.25827,1.20784,1.04784,0.9483,0.85575,0.97248,0.65099,1.14973,1.67151,1.05612,0.000540805,0.000540805,0.000540805
13,433.67,1.18517,1.095,1.02945,0.9493,0.86897,0.97717,0.66147,1.12232,1.67862,1.04492,0.000571571,0.000571571,0.000571571
14,469.359,1.17558,1.0739,1.03627,0.94535,0.73392,0.96905,0.6577,1.1363,1.84918,1.05155,0.000600028,0.000600028,0.000600028
15,502.422,1.18781,1.05603,1.04521,0.96564,0.79166,0.97067,0.68042,1.05427,1.82942,1.02705,0.000602092,0.000602092,0.000602092
16,534.671,1.18309,1.05974,1.0402,0.96524,0.91523,0.97489,0.65755,1.13872,1.62754,1.04198,0.000585599,0.000585599,0.000585599
17,566.845,1.21993,1.02238,1.04047,0.94189,0.92986,0.98098,0.67425,1.09635,1.47748,1.03356,0.000569106,0.000569106,0.000569106
18,598.45,1.15469,0.99795,1.05215,0.94346,0.93389,0.98176,0.7058,1.01061,1.38833,1.01142,0.000552612,0.000552612,0.000552612
19,629.596,1.09806,0.93351,1.0027,0.94726,0.95062,0.98322,0.66585,1.0825,1.32005,1.02288,0.000536119,0.000536119,0.000536119
20,661.259,1.17981,0.96925,1.0127,0.94965,0.95245,0.98106,0.68633,1.04637,1.10513,1.01023,0.000519625,0.000519625,0.000519625
21,692.187,1.11963,0.95505,1.0101,0.94776,0.95626,0.98213,0.69562,1.02797,1.10036,1.00537,0.000503132,0.000503132,0.000503132
22,723.319,1.08662,0.88208,1.003,0.94663,0.96239,0.97989,0.68154,1.0752,1.18312,1.00872,0.000486639,0.000486639,0.000486639
23,754.153,1.07294,0.88439,0.99453,0.96509,0.96565,0.98434,0.71009,1.01333,1.01223,1.0037,0.000470145,0.000470145,0.000470145
24,784.99,1.06121,0.87888,0.98402,0.96981,0.95889,0.98733,0.72911,0.97348,0.84517,1.00395,0.000453652,0.000453652,0.000453652
25,817.065,1.03022,0.86556,0.9807,0.97766,0.96711,0.98849,0.73906,0.95853,0.81305,0.99376,0.000437158,0.000437158,0.000437158
26,848.173,1.07171,0.88562,1.00194,0.97552,0.97025,0.9904,0.70578,1.01189,0.88645,0.98318,0.000420665,0.000420665,0.000420665
27,879.985,1.08225,0.8737,1.01169,0.97487,0.98588,0.99155,0.73206,0.96104,0.87388,1.0002,0.000404172,0.000404172,0.000404172
28,911.823,1.02655,0.86563,0.99681,0.96717,0.98001,0.98948,0.73064,0.94159,0.80925,0.98491,0.000387678,0.000387678,0.000387678
29,943.473,1.06642,0.83194,0.97736,0.96697,0.98061,0.99001,0.73546,0.93831,0.78875,0.97899,0.000371185,0.000371185,0.000371185
30,975.393,1.00937,0.83816,0.98423,0.97782,0.97226,0.98977,0.72995,0.9398,0.77374,0.97439,0.000354691,0.000354691,0.000354691
31,1007.91,1.00806,0.81883,0.98225,0.97312,0.98873,0.99183,0.73349,0.93788,0.7783,0.97925,0.000338198,0.000338198,0.000338198
32,1046.8,1.00886,0.80821,1.01025,0.98896,0.98298,0.99222,0.74494,0.90774,0.75666,0.9711,0.000321705,0.000321705,0.000321705
33,1079.7,1.00181,0.79254,0.95618,0.98382,0.97968,0.99181,0.74557,0.94199,0.76756,0.97299,0.000305211,0.000305211,0.000305211
34,1113.73,0.98269,0.7837,0.96992,0.9786,0.98392,0.99073,0.74569,0.95088,0.75185,0.9857,0.000288718,0.000288718,0.000288718
35,1147.64,0.96111,0.78821,0.97695,0.98146,0.98226,0.98983,0.75957,0.89552,0.73228,0.9695,0.000272224,0.000272224,0.000272224
36,1180.89,0.99577,0.78125,0.98636,0.98743,0.98649,0.99229,0.75602,0.88767,0.72361,0.96506,0.000255731,0.000255731,0.000255731
37,1212.57,0.97222,0.76472,0.96404,0.98462,0.98657,0.99266,0.75099,0.91791,0.73605,0.97137,0.000239238,0.000239238,0.000239238
38,1245.12,0.96819,0.76601,0.9788,0.97864,0.98323,0.99114,0.74962,0.92643,0.74028,0.96765,0.000222744,0.000222744,0.000222744
39,1277.11,0.99807,0.76704,0.97867,0.97768,0.97898,0.99218,0.77083,0.8623,0.72628,0.95849,0.000206251,0.000206251,0.000206251
40,1310.57,0.99572,0.77028,0.98904,0.97657,0.98473,0.99209,0.77434,0.8537,0.72066,0.95297,0.000189757,0.000189757,0.000189757
41,1341.23,0.92455,0.81889,0.97188,0.98456,0.98481,0.99254,0.77177,0.85294,0.7399,0.94908,0.000173264,0.000173264,0.000173264
42,1371.92,0.91052,0.77279,0.97238,0.98548,0.96993,0.99104,0.75196,0.88113,0.85411,0.95284,0.000156771,0.000156771,0.000156771
43,1403,0.90531,0.76795,0.94968,0.98059,0.97554,0.99048,0.76048,0.86071,0.81769,0.94969,0.000140277,0.000140277,0.000140277
44,1434.13,0.92,0.76084,0.96928,0.98107,0.97972,0.98968,0.75753,0.85487,0.72167,0.94637,0.000123784,0.000123784,0.000123784
45,1465.6,0.91726,0.76986,0.96088,0.97926,0.98129,0.99064,0.75317,0.86775,0.70017,0.94648,0.00010729,0.00010729,0.00010729
46,1496.88,0.87125,0.72812,0.96486,0.9807,0.9876,0.99169,0.76026,0.86017,0.6849,0.94727,9.0797e-05,9.0797e-05,9.0797e-05
47,1528.4,0.85072,0.72592,0.9609,0.98628,0.98141,0.9925,0.77084,0.84675,0.67965,0.94431,7.43036e-05,7.43036e-05,7.43036e-05
48,1559.66,0.85864,0.72144,0.963,0.98388,0.98512,0.99237,0.77579,0.84872,0.68473,0.94407,5.78102e-05,5.78102e-05,5.78102e-05
49,1592,0.85521,0.72023,0.96413,0.98489,0.98797,0.9925,0.77637,0.84515,0.68414,0.94393,4.13168e-05,4.13168e-05,4.13168e-05
50,1628.1,0.85203,0.71122,0.95005,0.98576,0.98609,0.99302,0.78016,0.83798,0.67633,0.94308,2.48234e-05,2.48234e-05,2.48234e-05
