epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1512.01,0.93588,0.67003,1.00549,0.98365,0.99748,0.99331,0.69095,1.10265,0.72633,1.10385,0.000494885,0.000494885,0.000494885
43,1545.76,0.94403,0.68918,1.03105,0.97357,0.9984,0.99399,0.69803,1.06789,0.75022,1.1002,0.000486639,0.000486639,0.000486639
44,1579.6,0.94847,0.68528,1.01891,0.97497,1,0.99361,0.7026,1.06687,0.73689,1.09598,0.000478392,0.000478392,0.000478392
45,1615.55,0.91395,0.6535,1.00325,0.97878,0.99984,0.99412,0.70701,1.04613,0.71913,1.09937,0.000470145,0.000470145,0.000470145
46,1649.46,0.92465,0.67532,1.00108,0.98545,0.99769,0.9938,0.69998,1.0688,0.71261,1.09307,0.000461898,0.000461898,0.000461898
47,1682.56,0.9186,0.66781,0.99762,0.97742,1,0.99324,0.70185,1.07545,0.72994,1.08686,0.000453652,0.000453652,0.000453652
48,1715.41,0.93526,0.66132,1.00659,0.97858,1,0.99226,0.70564,1.06151,0.71007,1.09055,0.000445405,0.000445405,0.000445405
49,1748.4,0.90179,0.64144,1.00459,0.97804,1,0.99262,0.70244,1.06571,0.7006,1.09502,0.000437158,0.000437158,0.000437158
50,1784.39,0.89633,0.64977,0.99778,0.98001,1,0.99361,0.70848,1.04158,0.68757,1.0979,0.000428912,0.000428912,0.000428912
51,1817.91,0.91886,0.6599,0.99482,0.98164,1,0.99343,0.71042,1.0323,0.6689,1.09664,0.000420665,0.000420665,0.000420665
52,1850.88,0.92012,0.6415,1.00615,0.97195,1,0.99306,0.69931,1.07166,0.67144,1.09532,0.000412418,0.000412418,0.000412418
53,1884.1,0.9355,0.66289,1.00115,0.97198,1,0.99287,0.70327,1.08426,0.6844,1.09701,0.000404172,0.000404172,0.000404172
54,1917.28,0.9109,0.65591,1.0025,0.97657,0.99824,0.99287,0.70416,1.06784,0.6913,1.10303,0.000395925,0.000395925,0.000395925
55,1950.47,0.90617,0.64178,1.01307,0.97731,0.99966,0.99324,0.70148,1.06798,0.681,1.11984,0.000387678,0.000387678,0.000387678
56,1990.04,0.89515,0.62941,1.00291,0.97754,0.99874,0.9938,0.70218,1.05392,0.67738,1.11172,0.000379431,0.000379431,0.000379431
57,2031.67,0.91363,0.64051,1.00011,0.98468,0.99897,0.9938,0.7068,1.0505,0.67082,1.10091,0.000371185,0.000371185,0.000371185
58,2069.37,0.88793,0.62745,0.98956,0.97919,1,0.99224,0.70483,1.05866,0.66212,1.10107,0.000362938,0.000362938,0.000362938
59,2104.77,0.88545,0.62236,0.99239,0.98498,0.99925,0.99244,0.71179,1.03837,0.65671,1.10171,0.000354691,0.000354691,0.000354691
60,2143.87,0.909,0.62873,1.00419,0.9821,1,0.99262,0.70132,1.06151,0.64476,1.10463,0.000346445,0.000346445,0.000346445
61,2179.24,0.87915,0.60992,0.98329,0.98142,0.99891,0.99188,0.70533,1.07138,0.63897,1.10381,0.000338198,0.000338198,0.000338198
62,2214.25,0.89673,0.61587,0.99298,0.98443,1,0.9907,0.70705,1.05793,0.64131,1.10409,0.000329951,0.000329951,0.000329951
63,2249.61,0.87671,0.61411,0.9817,0.98289,1,0.99204,0.70573,1.05123,0.63882,1.10079,0.000321705,0.000321705,0.000321705
64,2284.56,0.88753,0.61035,0.98847,0.98068,0.99998,0.99137,0.70388,1.06452,0.65168,1.10086,0.000313458,0.000313458,0.000313458
65,2319.49,0.89226,0.60744,0.99087,0.97922,0.99962,0.99168,0.70063,1.07641,0.64298,1.10014,0.000305211,0.000305211,0.000305211
66,2354.92,0.88467,0.61488,1.00037,0.98352,1,0.99269,0.70019,1.07947,0.63958,1.09848,0.000296964,0.000296964,0.000296964
67,2391.42,0.87539,0.60726,0.97406,0.98571,0.99874,0.99343,0.69655,1.08244,0.63894,1.10284,0.000288718,0.000288718,0.000288718
68,2426.66,0.87736,0.59939,0.98493,0.97806,1,0.99399,0.70441,1.05567,0.62528,1.10131,0.000280471,0.000280471,0.000280471
69,2461.57,0.86506,0.59924,0.97979,0.97675,1,0.99251,0.71104,1.05414,0.62503,1.10396,0.000272224,0.000272224,0.000272224
70,2496.2,0.87954,0.60346,0.98908,0.98111,0.9987,0.98817,0.70246,1.062,0.62429,1.10534,0.000263978,0.000263978,0.000263978
71,2530.71,0.865,0.611,0.99428,0.97867,0.99858,0.99156,0.70255,1.07232,0.6269,1.10739,0.000255731,0.000255731,0.000255731
72,2565.74,0.84289,0.60959,0.98202,0.98116,0.9994,0.99255,0.70385,1.06554,0.63845,1.11816,0.000247484,0.000247484,0.000247484
73,2600.36,0.85224,0.60488,0.98726,0.97845,1,0.99255,0.70003,1.08004,0.65321,1.1209,0.000239238,0.000239238,0.000239238
74,2635.63,0.85874,0.59016,0.99149,0.98013,1,0.99255,0.70961,1.06749,0.64656,1.11361,0.000230991,0.000230991,0.000230991
75,2670.48,0.86981,0.59787,0.98174,0.9763,1,0.98958,0.7039,1.05291,0.62793,1.11019,0.000222744,0.000222744,0.000222744
76,2705.26,0.84819,0.5963,0.96689,0.97494,0.99895,0.9905,0.70246,1.06165,0.63281,1.12111,0.000214497,0.000214497,0.000214497
77,2740.06,0.84507,0.59562,0.99064,0.97103,0.99695,0.9911,0.70705,1.06295,0.62592,1.12445,0.000206251,0.000206251,0.000206251
78,2774.43,0.8259,0.58347,0.97197,0.97496,1,0.99211,0.70521,1.06256,0.61819,1.11705,0.000198004,0.000198004,0.000198004
79,2809.74,0.86082,0.59156,0.98427,0.9756,1,0.99229,0.69922,1.07832,0.61944,1.11729,0.000189757,0.000189757,0.000189757
80,2842.64,0.85801,0.57758,0.98561,0.97893,1,0.99146,0.70137,1.05861,0.61896,1.10919,0.000181511,0.000181511,0.000181511
81,2875.34,0.82426,0.57816,0.97021,0.97872,1,0.99244,0.7026,1.06297,0.61709,1.11284,0.000173264,0.000173264,0.000173264
82,2908.25,0.83309,0.58246,0.97236,0.98021,1,0.99361,0.69465,1.08359,0.61268,1.12628,0.000165017,0.000165017,0.000165017
83,2941.1,0.8432,0.58546,0.97408,0.98645,0.99884,0.99324,0.70321,1.08327,0.60382,1.12819,0.000156771,0.000156771,0.000156771
84,2973.72,0.85365,0.5881,0.97123,0.98763,1,0.99306,0.6988,1.07817,0.60499,1.12353,0.000148524,0.000148524,0.000148524
85,3006.37,0.8286,0.58239,0.98766,0.98736,1,0.99287,0.70028,1.07557,0.60625,1.12259,0.000140277,0.000140277,0.000140277
86,3039.21,0.83646,0.56741,0.96508,0.98393,1,0.99287,0.69739,1.08249,0.61011,1.12851,0.000132031,0.000132031,0.000132031
87,3071.93,0.82799,0.57603,0.97417,0.98198,1,0.99269,0.69954,1.09037,0.61417,1.1293,0.000123784,0.000123784,0.000123784
88,3104.49,0.80779,0.56856,0.95835,0.98126,1,0.99269,0.69809,1.06718,0.60357,1.11719,0.000115537,0.000115537,0.000115537
89,3137.51,0.82341,0.57092,0.9593,0.98157,1,0.99269,0.70124,1.06226,0.60293,1.11558,0.00010729,0.00010729,0.00010729
90,3170.4,0.82506,0.56375,0.96826,0.98464,1,0.99269,0.69927,1.06836,0.60528,1.11803,9.90437e-05,9.90437e-05,9.90437e-05
91,3202.78,0.82672,0.62282,0.98534,0.98541,1,0.99269,0.69796,1.07239,0.60592,1.11647,9.0797e-05,9.0797e-05,9.0797e-05
92,3235.33,0.83195,0.60787,0.96047,0.98685,0.99984,0.99255,0.69294,1.09969,0.61996,1.11474,8.25503e-05,8.25503e-05,8.25503e-05
93,3267.19,0.80357,0.58515,0.96964,0.9864,1,0.99255,0.68935,1.12254,0.63247,1.11761,7.43036e-05,7.43036e-05,7.43036e-05
94,3299.3,0.80974,0.59368,0.97582,0.98222,1,0.99269,0.68995,1.11959,0.63951,1.11704,6.60569e-05,6.60569e-05,6.60569e-05
95,3331.71,0.77177,0.58059,0.96113,0.97961,1,0.99236,0.69369,1.08449,0.62444,1.11526,5.78102e-05,5.78102e-05,5.78102e-05
96,3363.61,0.76986,0.57567,0.96782,0.98061,1,0.99199,0.69834,1.06936,0.60849,1.1162,4.95635e-05,4.95635e-05,4.95635e-05
97,3395.81,0.78476,0.57293,0.96078,0.98157,1,0.99199,0.70284,1.06628,0.60509,1.11683,4.13168e-05,4.13168e-05,4.13168e-05
98,3427.93,0.78523,0.57867,0.96203,0.98253,1,0.99218,0.70528,1.06381,0.60375,1.11736,3.30701e-05,3.30701e-05,3.30701e-05
99,3460.05,0.78249,0.58686,0.95001,0.9808,0.99933,0.99218,0.70164,1.06412,0.60537,1.11727,2.48234e-05,2.48234e-05,2.48234e-05
100,3492.54,0.76744,0.55857,0.95629,0.98474,0.99818,0.99218,0.7,1.0659,0.60578,1.11773,1.65767e-05,1.65767e-05,1.65767e-05
